Title,Author,Discount,Price before,Price now,Editorial,Year
 ÚLTIMOS TESTIGOS: LOS NIÑOS DE LA SEGUNDA GUERRA MUNDIAL  ,Svetlana Alexiévich,20,42000,33600,DEBOLSILLO,2021
 RELATO DE UN NÁUFRAGO  ,Gabriel García Márquez,20,39000,31200,DEBOLSILLO,2014
 LA ILÍADA  ,Homero,20,48000,38400,PENGUIN CLÁSICOS,2015
 VOCES DE CHERNÓBIL  ,Svetlana Alexievich,20,52000,41600,DEBOLSILLO,2015
 CONTABILIDAD DE ACTIVOS CON NIIF ,Uriel Guillermo Angulo Guiza,10,72000,64800,DELAU,0
 EL LIBRO DEL AUTOCUIDADO  ,Jennifer Ashton,20,29000,23200,DIANA,2021
 PATO DONALD. ¿DÓNDE ESTÁ DONALD? ,Disney,20,39000,31200,PLANETA JUNIOR,2020
 ENTERRAD A LOS MUERTOS  ,Louise Penny,20,54000,43200,SALAMANDRA BOLSILLO,2021
 HISTORIA DE COLOMBIA: LO QUE NECESITAS SABER ,"López Jerez, Mabel Paola | Barbosa Amaya, Eric Duvan",20,59000,47200,EDICIONES PAIDÓS,2021
 EL RESPLANDOR  ,Stephen King,20,49000,39200,DEBOLSILLO,2014
 AQUELLA ORILLA NUESTRA  ,Elvira Sastre,20,48000,38400,ALFAGUARA INFANTIL JUVENIL,2018
 LA BIBLIA DEL EQUILIBRIO HORMONAL ,Shawn  Tassone,20,65000,52000,GRIJALBO,0
 VIOLETA (2DA EDICIÓN)  ,Alvaro Vanegas,30,44000,30800,CALIXTA EDITORES SAS,2022
 VEN Y DIME COMO VIVES ,Agatha Christie,20,69000,55200,TUSQUETS,2023
 LOS HOMBRES INVISIBLES (LIBRO EN ESPAÃ±OL) ,Mario Mendoza,20,49000,39200,GRUPO PLANETA,0
 DE KAFKA A KAFKA  ,Maurice Blanchot,30,35000,24500,FONDO DE CULTURA ECONOMICA,1991
 ROMEO Y JULIETA COMETA  ,William Shakespeare,30,7500,5250,COMETA,0
 EN LA SOMBRA  ,"Príncipe Harry,Duque De Sussex",20,72000,57600,PENGUIN RANDOM HOUSE,2023
 EL BAILE DE LAS MUJERES SABIAS  ,Clarissa Pinkola Estés,20,45000,36000,EDICIONES B,2022
 PRESIDENTES SIN PEDESTAL ,"Pernett Cañas, Nicolàs",20,59000,47200,EDICIONES B,2022
" DUELOS EN LA VIDA, LOS ","Fonnegra De Jaramillo, Isabel",20,45000,36000,DEBOLS!LLO,2023
 EL ESTADO EMPRENDEDOR ,Mariana Mazzucato,20,62000,49600,TAURUS,2023
 LA SUMA DE TODOS LOS RUIDOS ,Sebastián Krieger,30,38000,26600,CALIXTA EDITORES,2022
 LA BESTIA  ,Disney,20,42000,33600,PLANETA JUNIOR,0
 UN TRATO CON EL REY DE LOS ELFOS  ,Elise Kova,20,82000,65600,EDICIONES URANO,2022
" TODAS LAS COSAS Y NINGUNA, EN BUSCA DE FERNANDO MOLANO ",Pedro Adrián Zuluaga,20,29000,23200,CRITICA,2020
 SIETE RAYOS DE LUZ  ,Teresa Salazar Posada,20,45000,36000,DIANA,2020
 VOLVER LA VISTA ATRAS  ,Juan Gabriel Vásquez,20,72000,57600,ALFAGUARA,2020
 SEPARACION POR LAS BUENAS  ,Juanita Boada,20,55000,44000,GRIJALBO,2022
 LAS 25 LEYES BÍBLICAS PARA EL ÉXITO  ,William Douglas,20,29000,23200,DIANA,2018
 HISTORIA DE COLOMBIA. TODO LO QUE HAY QUE SABER  ,"Luis Enrique Rodríguez Baquero, Jaime Borja, Diana Ceballos Gómez, Amparo Murillo, Ana Luz Rodríquez, Carlos Uribe, Ricardo Arias",20,49000,39200,DEBOLSILLO,2017
 LA LLAMADA DE LA TRIBU  ,Mario Vargas Llosa,20,63000,50400,ALFAGUARA,2018
 TRUE COLORS  ,Ximena Renzo,30,79900,55930,NOVA CASA EDITORIAL,2018
 EL RETRATO DE DORIAN GRAY ,Oscar Wilde,30,35000,24500,BLANCO & NEGRO,2021
 FLEUR. MI DESESPERADA DECISIÓN  ,Ariana Godoy,20,62000,49600,MONTENA,2022
 CUADERNO DE PARÍS  ,Pablo Montoya,20,50000,40000,EDICIONES B,2016
 ¡GEORGE EMPIEZA EL COLE! (PEPPA PIG)  ,"Astley Neville, Mark Baker",20,19900,15920,ALTEA,2016
 LOS HIJOS DEL REY. ASESINO DE BRUJAS 2 ,Shelby Mahurin,20,80000,64000,PUCK,2022
 NUDOS MENTALES  ,Bernardo Stamateas,20,52000,41600,EDICIONES B,2015
" STOA, LA ","Pohlenz, Max",20,69000,55200,TAURUS,2022
 LAS CRÓNICAS DE NARNIA 5. LA TRAVESÍA DEL VIAJERO DEL ALBA  ,C. S. Lewis,20,39000,31200,DESTINO,2014
 LA BIBLIA DE LA SALUD INTESTINAL  ,Gerard E. Mullin,20,67000,53600,GRIJALBO,2017
 EL RETRATO DE DORIAN GRAY  ,Oscar Wilde,20,45000,36000,PENGUIN CLÁSICOS,2017
 CULPA MÍA  ,Mercedes Ron,20,65000,52000,MONTENA,2017
 EL MAPA DE LOS ANHELOS ,Alice Kellen,20,72000,57600,PLANETA,2022
 HARRY POTTER Y LAS RELIQUIAS DE LA MUERTE  ,J. K. Rowling,20,87000,69600,PENGUIN RANDOM HOUSE,2022
 ¡DESPEINADOS!  ,"Amalia Low, Paula Ríos",20,45000,36000,B DE BLOK,2020
 THE SCARLET LETTER (LIBRO EN INGLÉS)  ,Nathaniel Hawthorne,20,49900,39920,PENGUIN CLASSICS,2015
 HEREJES DE DUNE 5  ,Frank Herbert,20,55000,44000,DEBOLSILLO,2022
" MAMÁ, ¿ME CUENTAS TU HISTORIA?  ",Elma Van Vliet,20,62000,49600,PLAZA & JANES,2019
 PEDRO PÁRAMO  ,Juan Rulfo,20,45000,36000,RM,2005
 FLASH CARD ANIMALES ACUATICOS ,Kocodío,30,35000,24500,KOCODIO SAS,2022
 ROMA SOY YO: LA VERDADERA HISTORIA DE JULIO CÉSAR  ,Santiago Posteguillo,20,92000,73600,B,2022
 SOLO JUEGOS SUDOKU ,Ediycon,10,8200,7380,EDIYCON,0
 ESTAMBUL  ,Orhan Pamuk,20,52000,41600,DEBOLSILLO,2007
 EXPERIENCIAS CON EL CIELO  ,Elsa Lucía Arango,20,55000,44000,GRIJALBO,2015
 AMERICANAH (EDICIÓN ESPECIAL LIMITADA)  ,Chimamanda Ngozi Adichie,20,75000,60000,LITERATURA RANDOM HOUSE,2018
 GUIA USO CODIGOS SAGRADOS NUMERICOS ,Martha Prieto,30,74000,51800,MARTHA PRIETO,2020
 REVOLUCIONES  ,Diana Uribe,20,89000,71200,AGUILAR,2020
 PIENSA COMO UN ARTISTA  ,Will Gompertz,20,56000,44800,TAURUS,2016
" ARTE DE VIVIR, EL (NAL) ","Nhat Hanh, Thich",20,60000,48000,URANO,0
 ONCE ANILLOS ,"Jackson, Phil; Delehanty, Hugh",20,52000,41600,ROCA BOLSILLO,2023
 EL FUEGO DE LA IMAGINACIÓN  ,Mario Vargas Llosa,20,99000,79200,ALFAGUARA,2022
 HIJOS DE DUNE  ,Frank Herbert,20,57000,45600,DEBOLSILLO,2022
 AMAR ES GANARLO TODO  ,Alberto Linero,20,59000,47200,EDITORIAL PLANETA,0
 DIARIO DEL FIN DEL MUNDO  ,Mario Mendoza,20,55000,44000,GRUPO PLANETA,2021
 VOLVER AL AMOR  ,Marianne Williamson,20,66000,52800,EDICIONES URANO,2022
 INTELIGENCIA FINANCIERA ,Reclasificar,20,65000,52000,TALLER DEL EXITO,2022
 FIVE NIGHTS AT FREDDYS LOS OJOS DE PLATA  ,Scott Y Breed Wrisley Cawthon,20,65000,52000,ROCA EDITORIAL,2022
 MITOS Y LEYENDAS LATINOAMERICANAS  ,Javier Ocampo Lopez,10,37000,33300,PLAZA & JANES COLOMBIA,2013
 LOS CABALLOS MAS BELLOS DEL MUNDO(T. D)(17)  ,Gabriele Boiselle,80,18405,3681,KONEMANN,0
 1984  ,George Orwell,30,30000,21000,EDITORIAL BLANCO Y NEGRO SAS,2022
 ÁNGELES Y DEMONIOS  ,Dan Brown,20,65000,52000,PLANETA,2017
 JANE EYRE  ,Charlotte Bronte,20,53000,42400,PENGUIN RANDOM HOUSE,2017
 EL VIAJE DEL HOMBRE DORADO  ,Mariela Vargas Osorno,20,42000,33600,PLANETA,2014
 TODOS LOS CUENTOS  ,Gabriel Garcia Marquez,20,49000,39200,DEBOLSILLO,2019
